riskDamage-%-soc-light;0,0000;0,0000;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995;0,3995
auctioning-time-global;0;0;0;0;50015;50015;50015;50015;50015;160029;160029;160029;160029;160029;160029;260053;260053;260053;260053;260053;260053;320065;320065;320065;320065;320065;320065;380073;380073;380073;380073;380073;380073;440082;440082;440082;440082;440082
migrating-time-global;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
auctioning-time-soc-temperature;0;0;0;0;0;0;0;0;0;10002;10002;10002;10002;10002;10002;20005;20005;20005;20005;20005;20005;20005;20005;20005;20005;20005;20005;20005;20005;20005;20005;20005;20005;20005;20005;20005;20005;20005
migrating-time-soc-temperature;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
auctioning-time-printer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
migrating-time-printer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
auctioning-time-soc-motion;0;0;0;0;10003;10003;10003;10003;10003;20003;20003;20003;20003;20003;20003;30005;30005;30005;30005;30005;30005;40006;40006;40006;40006;40006;40006;50007;50007;50007;50007;50007;50007;60009;60009;60009;60009;60009
migrating-time-soc-motion;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
auctioning-time-soc-alarm;0;0;0;0;10004;10004;10004;10004;10004;20005;20005;20005;20005;20005;20005;30009;30009;30009;30009;30009;30009;40010;40010;40010;40010;40010;40010;50011;50011;50011;50011;50011;50011;60012;60012;60012;60012;60012
migrating-time-soc-alarm;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
